postcode	suburb	no_permits	opacity	type	cost_of_works
3222	CLIFTON SPRINGS	242	0.4840	Metropolitan	23996841
3223	INDENTED HEAD	292	0.5840	Metropolitan	41168273
3224	LEOPOLD	379	0.7580	Metropolitan	57805995
3225	POINT  LONSDALE	188	0.3760	Rural	33172850
3226	OCEAN GROVE	396	0.7920	Metropolitan	71153622
3227	BARWON HEADS	216	0.4320	Metropolitan	48229949
3228	BARWON HEADS	665	1.3300	Metropolitan	169688439
3230	ANGLESEA	113	0.2260	Rural	20809929
3231	AIREYS INLET	58	0.1160	Rural	24051163
3232	LORNE	60	0.1200	Rural	17170630
3233	APOLLO BAY	85	0.1700	Rural	14322827
3235	DEANS MARSH	23	0.0460	Rural	3696021
3236	FORREST	13	0.0260	Rural	1340018
3237	BEECH FOREST	6	0.0120	Rural	931749
3238	GLENAIRE	12	0.0240	Rural	1912796
3239	CARLISLE RIVER	6	0.0120	Rural	588054
3240	BUCKLEY	49	0.0980	Rural	7521756
3241	BAMBRA	90	0.1800	Metropolitan	8536601
3242	BIRREGURRA	19	0.0380	Rural	1687381
3243	BARWON DOWNS	7	0.0140	Rural	664132
3249	ALVIE	52	0.1040	Rural	4380725
3250	COLAC	257	0.5140	Rural	32840529
3251	BEEAC	13	0.0260	Rural	1134799
3254	COROROOKE	2	0.0040	Rural	206695
3260	BOSTOCKS CREEK	93	0.1860	Rural	11024669
3264	TERANG	64	0.1280	Rural	10063262
3265	BOORCAN	55	0.1100	Rural	7583478
3266	COBDEN	60	0.1200	Rural	5537379
3268	BRUCKNELL	48	0.0960	Rural	4597565
3269	PORT CAMPBELL	23	0.0460	Rural	1303561
3270	PETERBOROUGH	10	0.0200	Rural	813182
3271	DARLINGTON	5	0.0100	Rural	401948
3272	MORTLAKE	40	0.0800	Rural	5157789
3273	HEXHAM	3	0.0060	Rural	107000
3275	MAILORS FLAT	18	0.0360	Rural	2670500
3276	WOOLSTHORPE	5	0.0100	Rural	1074764
3277	ALLANSFORD	41	0.0820	Rural	5968286
3278	PURNIM	6	0.0120	Rural	1008491
3279	WANGOOM	10	0.0200	Rural	896132
3280	DENNINGTON	598	1.1960	Rural	113884528
3281	Allansford	46	0.0920	Rural	7100822
3282	ILLOWA	68	0.1360	Rural	5774069
3283	CROSSLEY	34	0.0680	Rural	3325545
3284	PORT FAIRY	93	0.1860	Rural	16436594
3285	NARRAWONG	33	0.0660	Rural	4459416
3286	MACARTHUR	8	0.0160	Rural	488190
3287	HAWKESDALE	6	0.0120	Rural	1356873
3289	GAZETTE	9	0.0180	Rural	1131542
3292	NELSON	13	0.0260	Rural	672797
3293	GLENTHOMPSON	2	0.0040	Rural	267970
3294	DUNKELD	32	0.0640	Rural	4592403
3300	BYADUK NORTH	214	0.4280	Rural	30309901
